prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size(sq.ft.),furnished,region,near_KTM-LRT,minimart availability,security availability
Mutiara Villa,2500,Bukit Bintang,Condominium,2,1,2,1033,2,Kuala Lumpur,1,1,1
Segar Apartments,1000,Cheras,Apartment,3,1,2,770,1,Kuala Lumpur,0,0,1
Sentul Point Suite Apartment,1500,Sentul,Apartment,2,1,2,745,1,Kuala Lumpur,0,1,1
The Haute,2000,Keramat,Condominium,3,2,2,1100,1,Kuala Lumpur,0,0,1
Service Suites @ Pavilion Embassy,4300,Keramat,Service Residence,2,2,2,1098,2,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1700,Setapak,Apartment,3,1,2,885,1,Kuala Lumpur,1,0,1
Mont Kiara Pelangi,2499,Mont Kiara,Condominium,3,1,2,1390,2,Kuala Lumpur,0,1,1
Platinum OUG Residence,1650,Kuchai Lama,Condominium,3,2,2,1200,2,Kuala Lumpur,1,0,1
United Point Residence @ North Kiara,1600,Kepong,Service Residence,3,1,2,829,1,Kuala Lumpur,1,1,1
Vista Komanwel C,2000,Bukit Jalil,Apartment,6,1,3,1400,2,Kuala Lumpur,1,1,1
Menara Antara,3000,Bukit Bintang,Condominium,2,1,3,1500,2,Kuala Lumpur,1,0,1
Pertiwi Indah,1600,Cheras,Condominium,3,1,2,1285,1,Kuala Lumpur,0,0,1
OUG Parklane,1250,OUG,Service Residence,3,1,2,950,1,Kuala Lumpur,1,1,1
Ketumbar Heights,1500,Cheras,Condominium,3,1,2,765,2,Kuala Lumpur,0,0,1
Menara Cenderawasih,1000,Keramat,Apartment,3,1,1,872,0,Kuala Lumpur,1,0,0
Sixceylon Condominium,3500,Bukit Bintang,Condominium,2,1,2,1200,2,Kuala Lumpur,1,0,1
Majestic Maxim,1400,Cheras,Service Residence,2,2,2,650,1,Kuala Lumpur,0,0,1
Platinum Teratai Residence,1600,Setapak,Condominium,3,1,2,928,1,Kuala Lumpur,1,1,1
Kenari Court,1300,Ampang,Apartment,3,1,2,750,1,Kuala Lumpur,0,0,1
Sri Intan 2,1400,Jalan Ipoh,Condominium,3,1,2,1200,1,Kuala Lumpur,0,1,1
i-Zen @ Kiara 1,4200,Mont Kiara,Condominium,5,2,3,1400,2,Kuala Lumpur,0,0,1
Flat Taman Bukit Angkasa,1200,Bangsar South,Apartment,3,1,2,750,0,Kuala Lumpur,0,0,1
3 Residen,2600,Taman Melawati,Condominium,2,2,2,1206,2,Kuala Lumpur,0,1,1
TR Residence,2600,Titiwangsa,Service Residence,2,1,1,710,2,Kuala Lumpur,1,0,1
M Centura,1300,Sentul,Service Residence,3,2,2,850,2,Kuala Lumpur,1,1,1
Majestic Maxim,1400,Cheras,Service Residence,3,2,2,819,1,Kuala Lumpur,0,0,1
The Era,2400,Segambut,Service Residence,2,2,2,800,2,Kuala Lumpur,0,0,1
Majestic Maxim,1300,Cheras,Service Residence,2,2,2,650,1,Kuala Lumpur,0,0,1
Majestic Maxim,1700,Cheras,Service Residence,3,2,2,819,1,Kuala Lumpur,0,0,1
The Elements,2100,Ampang,Service Residence,2,1,2,950,2,Kuala Lumpur,0,0,1
Majestic Maxim,1500,Cheras,Service Residence,3,2,2,819,1,Kuala Lumpur,0,0,1
Majestic Maxim,1600,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,1,1
Majestic Maxim,1500,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,1,1
The Holmes,2200,Cheras,Condominium,3,2,2,1018,2,Kuala Lumpur,0,1,1
Apartment Sentul,1450,Sentul,Apartment,3,1,2,948,1,Kuala Lumpur,1,1,1
Apartment Sentul,1600,Sentul,Apartment,3,2,2,1037,2,Kuala Lumpur,1,1,1
Sky Awani Residensi 4,1500,Setapak,Condominium,3,1,2,800,0,Kuala Lumpur,0,0,1
M City,2500,KL City,Service Residence,2,1,2,1052,2,Kuala Lumpur,1,1,1
Changkat View Condominium,800,Solaris Dutamas,Condominium,5,1,1,1100,2,Kuala Lumpur,1,1,1
Desa Permai,1800,Taman Desa,Condominium,3,1,2,1130,2,Kuala Lumpur,0,1,1
Arte Mont Kiara,2998,Mont Kiara,Service Residence,2,2,1,925,2,Kuala Lumpur,1,0,1
Putra Suria Residence,1350,Cheras,Condominium,3,1,2,748,2,Kuala Lumpur,1,1,1
The Birch,1600,Jalan Ipoh,Service Residence,2,1,1,652,1,Kuala Lumpur,1,0,1
Taman Connaught,1500,Cheras,Condominium,2,1,2,650,1,Kuala Lumpur,1,0,1
Heritage Condominiun,1600,Setapak,Condominium,3,1,2,1280,2,Kuala Lumpur,1,1,1
PV9 Residences @ Taman Melati,2200,Setapak,Service Residence,3,2,2,1000,1,Kuala Lumpur,1,0,1
M Centura,1200,Sentul,Condominium,2,1,1,650,2,Kuala Lumpur,1,1,1
PPA1M Bukit Jalil,1300,Bukit Jalil,Apartment,3,1,2,1200,1,Kuala Lumpur,1,1,1
M Centura Sentul,1400,Sentul,Service Residence,2,1,1,646,1,Kuala Lumpur,0,0,1
Dorsett Residences Sri Hartamas,2100,Sri Hartamas,Service Residence,2,1,1,560,2,Kuala Lumpur,0,0,1
Changkat View Condominium,1900,Solaris Dutamas,Condominium,3,1,2,1100,2,Kuala Lumpur,0,0,1
Winner Court A,1000,Desa Petaling,Condominium,3,1,2,765,1,Kuala Lumpur,1,1,1
Emerald Hills,2000,Cheras,Condominium,2,2,2,893,2,Kuala Lumpur,0,0,1
Prisma Cheras,1000,Cheras,Condominium,1,1,1,720,2,Kuala Lumpur,0,0,1
Residensi Vista Wirajaya,1700,Setapak,Apartment,3,1,2,885,1,Kuala Lumpur,1,1,1
Majestic Maxim,1500,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,1,1
Majestic Maxim,1600,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,1,1
The Loft @ ZetaPark,1250,Setapak,Condominium,1,1,1,660,0,Kuala Lumpur,1,1,1
Platinum Splendor Residensi Semarak,1500,Keramat,Condominium,3,2,2,926,1,Kuala Lumpur,0,1,1
The Henge Kepong,1800,Kepong,Condominium,4,2,2,1300,1,Kuala Lumpur,1,1,1
M3 Residency,1500,Setapak,Service Residence,3,1,2,807,1,Kuala Lumpur,1,1,1
Residensi Platinum Teratai,2000,Setapak,Condominium,3,1,2,928,1,Kuala Lumpur,1,1,1
Midah Ria,1350,Cheras,Condominium,3,1,2,967,1,Kuala Lumpur,1,0,1
Awana Puri Condominiums,1450,Cheras,Condominium,3,1,2,1100,1,Kuala Lumpur,1,0,1
Residensi Kerinchi,1900,Bangsar South,Condominium,3,1,2,900,0,Kuala Lumpur,1,1,1
28 Boulevard,2100,Pandan Perdana,Service Residence,2,1,2,678,2,Kuala Lumpur,1,1,1
Widuri Impian,1700,Desa Petaling,Service Residence,3,2,2,1008,1,Kuala Lumpur,0,0,1
Perdana Puri,1100,Kepong,Condominium,3,1,2,904,0,Kuala Lumpur,0,1,1
Residensi Jalilmas,1200,Bukit Jalil,Apartment,3,1,2,800,1,Kuala Lumpur,1,1,1
Rivercity Condominium,1500,Jalan Ipoh,Condominium,3,1,2,1200,1,Kuala Lumpur,1,1,1
Maxim Residences,1400,Cheras,Service Residence,3,2,2,1050,1,Kuala Lumpur,1,0,1
Bayu Sentul Condominium,1800,Sentul,Condominium,3,1,2,1300,1,Kuala Lumpur,0,1,1
Abadi Villa,1700,Taman Desa,Condominium,3,1,2,1240,2,Kuala Lumpur,0,0,1
Angkupuri,2600,Mont Kiara,Condominium,3,1,2,1250,2,Kuala Lumpur,0,1,1
Residensi Seri Wahyu @ Jalan Kuching KL,1200,KL City,Apartment,3,1,2,805,1,Kuala Lumpur,0,1,1
Sutera Maya,1500,Old Klang Road,Condominium,4,2,2,1341,1,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1700,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,0,1
Widuri Impian,1700,Desa Petaling,Service Residence,3,2,2,1009,1,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1500,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,1,1
"The Park 2, Pavilion Bukit Jalil",3200,Bukit Jalil,Service Residence,3,1,2,750,2,Kuala Lumpur,1,1,1
THE FENNEL AT SENTUL EAST,2400,Sentul,Condominium,3,2,3,1237,2,Kuala Lumpur,1,1,1
Pearl Suria,2600,Old Klang Road,Condominium,3,2,2,1150,2,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1800,Setapak,Apartment,3,1,2,885,2,Kuala Lumpur,1,1,1
Sri Kinabalu,1800,Wangsa Maju,Condominium,4,1,3,1900,1,Kuala Lumpur,0,0,1
Pavilion Hilltop @ Mont Kiara,4700,Mont Kiara,Condominium,3,2,2,1200,2,Kuala Lumpur,1,1,1
Residensi Wangsamas,1550,Wangsa Maju,Apartment,3,1,2,800,1,Kuala Lumpur,1,0,0
Vista Amani,1600,Cheras,Condominium,4,1,2,1101,1,Kuala Lumpur,0,1,1
D'Suria Condominium,2400,Ampang,Condominium,4,2,3,1264,1,Kuala Lumpur,1,0,1
Mentari Condominium,1700,Cheras,Condominium,3,1,2,1025,2,Kuala Lumpur,1,0,1
Inwood Residences @ Pantai Sentral Park,4000,Pantai,Condominium,4,2,2,1235,2,Kuala Lumpur,0,0,1
PPA1M Bukit Jalil,1950,Bukit Jalil,Apartment,4,1,2,1434,2,Kuala Lumpur,1,0,1
M Centura,2500,Sentul,Service Residence,3,1,2,850,2,Kuala Lumpur,1,0,1
The Leafz,2200,Sungai Besi,Service Residence,2,2,2,1025,2,Kuala Lumpur,1,0,1
Desa Tun Razak,750,Cheras,Apartment,2,1,1,700,1,Kuala Lumpur,1,1,1
Sri Jelatek Condominium,1400,Wangsa Maju,Condominium,3,1,2,1100,0,Kuala Lumpur,0,0,1
Taman Connaught,1700,Cheras,Condominium,3,1,2,819,1,Kuala Lumpur,1,0,1
The Colony by Infinitum,1900,KL City,Service Residence,1,1,1,450,1,Kuala Lumpur,1,1,1
Residensi Gurneymas,1400,Keramat,Apartment,3,1,2,850,1,Kuala Lumpur,1,1,1
Flat Taman Melati,950,Setapak,Other,2,1,1,580,0,Kuala Lumpur,1,0,0
Sri Mutiara,1300,KL City,Apartment,2,1,2,900,2,Kuala Lumpur,0,0,1
Sri Ledang,1600,Wangsa Maju,Condominium,4,1,2,1200,1,Kuala Lumpur,0,0,1
Unio Residence,1700,Kepong,Apartment,2,1,2,866,1,Kuala Lumpur,1,1,1
Majestic Maxim,900,Cheras,Service Residence,3,1,2,780,0,Kuala Lumpur,1,0,1
Chymes @ Gurney,2600,Keramat,Condominium,2,2,2,995,2,Kuala Lumpur,1,0,1
"Fera Residence @ The Quartz, Wangsa Maju",2800,Wangsa Maju,Service Residence,3,2,2,827,2,Kuala Lumpur,0,1,1
KL Traders Square Residences,2200,Gombak,Service Residence,4,2,2,1049,1,Kuala Lumpur,0,1,1
Setia SKY Residences,2900,KLCC,Condominium,1,2,1,990,2,Kuala Lumpur,1,1,1
Cendana Apartment,900,Cheras,Apartment,3,1,2,670,1,Kuala Lumpur,1,1,1
Majestic Maxim,1300,Cheras,Service Residence,2,2,2,650,0,Kuala Lumpur,1,0,1
Menara Duta 2,1800,Segambut,Condominium,4,1,3,1400,2,Kuala Lumpur,0,0,1
M Centura,1500,Sentul,Service Residence,3,1,2,850,1,Kuala Lumpur,1,1,1
Legasi Kampong Bharu,3200,KL City,Apartment,3,1,2,950,2,Kuala Lumpur,1,1,1
Majestic Maxim,1600,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,0,1,1
Majestic Maxim,1500,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,0,1,1
Residensi Pandanmas 2,1700,Desa Pandan,Apartment,3,1,2,900,2,Kuala Lumpur,1,1,1
Unio Residence,1650,Kepong,Apartment,2,1,2,866,1,Kuala Lumpur,1,1,1
"Fera Residence @ The Quartz, Wangsa Maju",2800,Wangsa Maju,Service Residence,3,2,2,856,2,Kuala Lumpur,1,0,0
TR Residence,1800,Titiwangsa,Service Residence,1,1,1,635,2,Kuala Lumpur,1,0,1
The Holmes 2,1700,Cheras,Condominium,3,2,2,1106,1,Kuala Lumpur,0,0,1
M Centura,1800,Sentul,Service Residence,3,2,2,850,1,Kuala Lumpur,1,1,1
Sri Kenangan,1500,Wangsa Maju,Condominium,4,1,2,1250,1,Kuala Lumpur,1,0,1
J.dupion,3099,Cheras,Condominium,3,2,2,1125,2,Kuala Lumpur,1,1,1
Platinum OUG Residence,1799,Kuchai Lama,Condominium,3,1,2,1200,2,Kuala Lumpur,1,1,1
UBN Tower,2100,KLCC,Condominium,1,1,1,720,2,Kuala Lumpur,1,0,1
Ativo Suites @ Damansara Avenue,1800,Sri Damansara,Service Residence,1,1,1,750,1,Kuala Lumpur,1,1,1
Menara Avenue,3500,KLCC,Condominium,3,1,2,1681,2,Kuala Lumpur,0,0,1
Sri Kenangan,1600,Wangsa Maju,Condominium,4,1,2,1259,1,Kuala Lumpur,0,0,1
Rampai Court,950,Wangsa Maju,Apartment,2,1,1,600,1,Kuala Lumpur,1,0,1
Anggun Residences,3700,KL City,Service Residence,2,1,2,976,2,Kuala Lumpur,1,1,1
Legasi Kampong Bharu,3200,KL City,Apartment,3,1,2,950,2,Kuala Lumpur,1,1,1
"D'Sand Residence, Old Klang Road, KL Eco City",2200,Old Klang Road,Condominium,3,2,2,1084,2,Kuala Lumpur,1,1,1
UNA Serviced Apartment @ Peel,3299,Cheras,Service Residence,3,2,2,1055,2,Kuala Lumpur,1,1,1
PV9 Residences @ Taman Melati,650,Setapak,Service Residence,4,1,2,850,2,Kuala Lumpur,1,1,1
Inspirasi Mont Kiara,2700,Mont Kiara,Condominium,3,2,2,1015,2,Kuala Lumpur,0,0,1
Sentul Village Mercury Service Apartment,1750,Sentul,Service Residence,3,1,2,1100,2,Kuala Lumpur,0,1,1
Majestic Maxim,1400,Cheras,Service Residence,2,2,2,650,0,Kuala Lumpur,1,0,1
Seasons Garden Residences @ Wangsa Maju,1400,Wangsa Maju,Apartment,3,1,2,770,1,Kuala Lumpur,0,0,1
Continew Condominium,2200,KL City,Condominium,1,1,1,550,2,Kuala Lumpur,1,0,1
Bam Villa,1350,Cheras,Condominium,2,1,2,971,1,Kuala Lumpur,0,1,1
THE FENNEL AT SENTUL EAST,3100,Sentul,Condominium,3,2,3,1250,2,Kuala Lumpur,1,1,1
Greenview Apartments,1000,Kepong,Apartment,3,1,2,835,1,Kuala Lumpur,1,0,1
Residensi Wirajaya 2 Taman Melati,1700,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,0,1
Tuan Residency,1600,Jalan Kuching,Service Residence,3,1,2,878,1,Kuala Lumpur,0,0,1
The Henge Kepong,1700,Kepong,Condominium,3,2,2,1300,1,Kuala Lumpur,1,1,1
The Henge Kepong,2000,Kepong,Condominium,3,2,2,1100,2,Kuala Lumpur,1,1,1
Shamelin Bestari,1600,Cheras,Condominium,3,1,2,1000,2,Kuala Lumpur,1,1,1
Sri Kenangan,1500,Wangsa Maju,Condominium,4,1,2,1250,1,Kuala Lumpur,1,1,1
Southlink,1850,Bangsar South,Apartment,1,1,1,452,2,Kuala Lumpur,1,1,1
M3 Residency,1700,Setapak,Service Residence,3,1,2,950,2,Kuala Lumpur,1,1,1
Damai Hillpark,1600,Bandar Damai Perdana,Service Residence,3,2,2,1020,1,Kuala Lumpur,1,1,1
OG Heights,1300,Pantai,Condominium,2,1,1,980,2,Kuala Lumpur,1,1,1
"The Park 2, Pavilion Bukit Jalil",3300,Bukit Jalil,Service Residence,3,1,2,750,2,Kuala Lumpur,1,1,1
PV9 Residences @ Taman Melati,2100,Setapak,Condominium,3,2,2,1000,1,Kuala Lumpur,1,0,1
The Haute,2000,Keramat,Condominium,3,2,2,1003,1,Kuala Lumpur,1,1,1
Kelumpuk Melati,850,Setiawangsa,Apartment,2,1,1,550,0,Kuala Lumpur,0,0,0
PV9 Residences @ Taman Melati,1450,Setapak,Service Residence,3,2,2,850,0,Kuala Lumpur,0,1,1
Impiana Sky Residensi,1600,Bukit Jalil,Apartment,3,1,2,850,2,Kuala Lumpur,0,0,1
Zen Suites @ Zetapark,1200,Setapak,Service Residence,1,1,1,618,1,Kuala Lumpur,0,0,0
The Holmes 2,1600,Cheras,Condominium,3,2,2,943,1,Kuala Lumpur,0,0,1
Teratai Mewah Condominium,1600,Setapak,Condominium,3,1,2,997,2,Kuala Lumpur,1,1,1
Delima J Apartment,1500,Desa Pandan,Apartment,3,1,2,985,2,Kuala Lumpur,1,0,1
Suria @ North Kiara,1500,Segambut,Apartment,2,1,2,713,1,Kuala Lumpur,0,1,1
The Z Residence,2400,Bukit Jalil,Condominium,3,2,2,1250,2,Kuala Lumpur,1,1,1
Lavile,3000,Cheras,Service Residence,3,2,2,864,2,Kuala Lumpur,1,1,1
M Centura,1800,Sentul,Service Residence,3,1,2,850,2,Kuala Lumpur,0,1,1
The Hipster @ Taman Desa,1700,Taman Desa,Service Residence,3,2,2,921,1,Kuala Lumpur,0,1,1
Lavile,3300,Cheras,Service Residence,3,1,2,862,2,Kuala Lumpur,1,1,1
Residensi Sefina Mont Kiara,3800,Mont Kiara,Condominium,4,2,2,1333,2,Kuala Lumpur,1,0,1
Pandan Court,1550,Ampang,Apartment,3,1,2,828,2,Kuala Lumpur,0,1,1
Enau Court,3700,Keramat,Condominium,3,1,2,1700,2,Kuala Lumpur,0,0,1
Southbank Residence,2000,Old Klang Road,Service Residence,3,1,2,953,1,Kuala Lumpur,1,0,1
Lavile,3700,Cheras,Service Residence,3,1,2,956,2,Kuala Lumpur,1,1,1
The Holmes 2,1700,Cheras,Condominium,3,2,2,979,1,Kuala Lumpur,0,0,1
Changkat View Condominium,2000,Solaris Dutamas,Condominium,3,1,2,1000,2,Kuala Lumpur,0,1,1
The Goodwood Residence,4400,Bangsar South,Service Residence,4,2,3,1184,2,Kuala Lumpur,0,0,1
Residensi Suria Pantai,1500,Pantai,Apartment,3,1,2,810,1,Kuala Lumpur,1,0,1
Lavile,2500,Cheras,Service Residence,3,1,2,840,1,Kuala Lumpur,1,0,1
Residensi Puchongmas,1100,Puchong,Condominium,3,2,2,900,1,Kuala Lumpur,0,0,1
Seri Puteri Condominium,1600,Cheras,Condominium,3,1,3,1010,1,Kuala Lumpur,0,1,1
Maxim Residences,2000,Cheras,Condominium,3,1,2,825,1,Kuala Lumpur,1,1,1
Casa Residency,3000,Bukit Bintang,Service Residence,3,1,3,1066,2,Kuala Lumpur,1,0,1
Majestic Maxim,1900,Cheras,Service Residence,3,1,2,820,1,Kuala Lumpur,1,0,1
V Residence Suites,2700,Cheras,Service Residence,2,1,1,694,2,Kuala Lumpur,1,0,1
Infiniti 3 Residences,3300,Wangsa Maju,Service Residence,3,2,3,1518,2,Kuala Lumpur,1,0,1
Three28 Tun Razak,3400,KLCC,Service Residence,2,1,2,1055,2,Kuala Lumpur,0,1,1
Three28 Tun Razak,3700,KLCC,Service Residence,3,1,3,1184,2,Kuala Lumpur,0,1,1
Sofiya Residences,2100,Desa ParkCity,Condominium,3,1,2,862,2,Kuala Lumpur,0,0,1
Desa Green,1800,Taman Desa,Service Residence,2,1,2,715,1,Kuala Lumpur,0,0,1
1C Pinang (Taman Sri Sentosa),1109,Old Klang Road,Apartment,3,1,2,900,1,Kuala Lumpur,0,1,1
Ketumbar Hill,1350,Cheras,Condominium,3,1,2,930,1,Kuala Lumpur,0,0,1
Le Jardine,1500,Pandan Indah,Condominium,3,1,2,1200,1,Kuala Lumpur,1,0,1
Pavilion Embassy Kuala Lumpur,4200,Keramat,Service Residence,2,2,2,1098,2,Kuala Lumpur,1,1,1
Inspirasi @ Mont Kiara,3300,Mont Kiara,Condominium,3,2,2,950,2,Kuala Lumpur,1,0,1
M Centura,2500,Sentul,Service Residence,3,1,2,850,2,Kuala Lumpur,0,1,1
M3 Residency,1700,Setapak,Service Residence,3,1,2,950,2,Kuala Lumpur,1,1,1
Twinz Residences,2000,Puchong,Service Residence,3,2,2,1226,1,Kuala Lumpur,0,0,1
Prima Saujana,1200,Kepong,Apartment,3,1,2,1000,1,Kuala Lumpur,0,1,1
Jalil Damai,1449,Bukit Jalil,Apartment,3,1,2,1050,1,Kuala Lumpur,1,1,1
The Sentral Residences,3300,KL Sentral,Service Residence,2,1,1,1087,2,Kuala Lumpur,1,0,1
Brem Park 1,1500,Old Klang Road,Condominium,3,1,2,1600,1,Kuala Lumpur,0,1,1
The Birch,1600,Jalan Ipoh,Service Residence,2,1,1,652,1,Kuala Lumpur,1,1,1
Southlink,2200,Bangsar South,Apartment,2,1,1,495,2,Kuala Lumpur,1,0,1
Seri Maya,1900,Setiawangsa,Condominium,3,1,2,1150,2,Kuala Lumpur,1,1,1
Pantai Hillpark 5,2000,Bangsar South,Condominium,3,1,2,1100,2,Kuala Lumpur,0,1,1
Fortune Perdana Lakeside,1400,Kepong,Service Residence,3,2,2,1027,1,Kuala Lumpur,0,0,1
The Henge Kepong,1600,Kepong,Condominium,3,2,2,1100,1,Kuala Lumpur,0,1,1
M Centura,1800,Sentul,Service Residence,3,2,2,850,1,Kuala Lumpur,0,1,1
Majestic Maxim,1200,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,0,1
M City,1800,KL City,Service Residence,1,1,1,719,2,Kuala Lumpur,1,1,1
M City,2200,KL City,Service Residence,1,1,2,981,2,Kuala Lumpur,1,1,1
M City,2300,KL City,Service Residence,2,1,2,977,2,Kuala Lumpur,1,0,1
M City,2100,KL City,Service Residence,1,1,2,910,2,Kuala Lumpur,1,1,1
Lavile,2700,Cheras,Service Residence,3,1,2,864,2,Kuala Lumpur,1,0,1
Flat Pkns Au3,900,Keramat,Other,2,1,1,549,0,Kuala Lumpur,0,1,0
Southlink,2600,Bangsar South,Apartment,2,1,1,495,2,Kuala Lumpur,1,1,1
Midfields 2,1650,Sungai Besi,Condominium,3,2,2,1152,1,Kuala Lumpur,0,1,1
Setia SKY Residences,5000,KLCC,Condominium,3,2,3,1701,2,Kuala Lumpur,1,1,1
Casa Residency,1300,Bukit Bintang,Service Residence,1,1,1,475,2,Kuala Lumpur,1,0,1
Riana Green East,2700,Wangsa Maju,Condominium,3,2,3,1647,2,Kuala Lumpur,1,1,1
Central Residence @ Sg Besi,1800,Sungai Besi,Condominium,3,2,2,1090,2,Kuala Lumpur,0,1,1
Mentari Condominium,1500,Cheras,Condominium,3,1,2,1050,2,Kuala Lumpur,1,0,1
The Ridge @ KL East,2450,Ampang,Service Residence,2,2,2,990,2,Kuala Lumpur,1,0,1
"SkyAwani 3 Residence, Setapak",1200,Setapak,Condominium,3,1,2,800,0,Kuala Lumpur,0,1,1
Wangsa Metroview,1300,Wangsa Maju,Condominium,3,1,2,1152,1,Kuala Lumpur,1,1,1
Serini Melawati,3000,Taman Melawati,Service Residence,3,2,2,1099,2,Kuala Lumpur,0,1,1
Mandy Villa,1500,Segambut,Apartment,4,1,2,1007,1,Kuala Lumpur,0,1,1
Wangsa Metroview,1300,Wangsa Maju,Condominium,3,1,2,1150,1,Kuala Lumpur,1,1,1
3 Towers,1900,Ampang Hilir,Condominium,1,1,1,440,2,Kuala Lumpur,1,0,1
Danau Impian,1700,Taman Desa,Condominium,3,1,2,950,2,Kuala Lumpur,0,1,1
Seri Maya,2000,Setiawangsa,Condominium,3,1,2,1200,2,Kuala Lumpur,0,0,1
The Westside Two,3200,Desa ParkCity,Condominium,2,2,2,1390,2,Kuala Lumpur,1,1,1
Season Garden Residence,1700,Setapak,Condominium,4,1,2,850,2,Kuala Lumpur,1,1,1
Mont Kiara Pelangi,3500,Mont Kiara,Condominium,3,1,2,1280,2,Kuala Lumpur,0,1,1
Season Garden Residence,1500,Wangsa Maju,Condominium,4,1,2,850,1,Kuala Lumpur,1,1,1
RSGC View,2000,Desa Pandan,Apartment,4,1,3,1475,1,Kuala Lumpur,0,0,1
Legasi Kampong Bharu,3500,KL City,Apartment,3,1,2,950,2,Kuala Lumpur,0,1,1
KL Traders Square Residences,2300,Gombak,Service Residence,4,1,2,940,2,Kuala Lumpur,0,0,0
Sri Tioman II,1300,Setapak,Apartment,2,1,1,581,1,Kuala Lumpur,1,1,1
3 Residen,2600,Taman Melawati,Condominium,2,2,2,1206,1,Kuala Lumpur,0,1,1
One Maxim,1700,Sentul,Apartment,3,1,2,819,2,Kuala Lumpur,1,1,1
Emerald Hills,1900,Cheras,Condominium,2,2,2,893,1,Kuala Lumpur,1,0,1
Inspirasi Condominium Mont Kiara,3700,Mont Kiara,Condominium,3,2,2,1015,2,Kuala Lumpur,0,0,1
Connaught Avenue,1300,Cheras,Service Residence,3,1,2,950,2,Kuala Lumpur,1,0,1
Residensi Wangsamas,1600,Wangsa Maju,Apartment,3,1,2,800,1,Kuala Lumpur,1,1,1
Platinum OUG Residence,1200,Kuchai Lama,Condominium,3,1,2,850,1,Kuala Lumpur,1,0,1
Prima Midah Heights,1600,Cheras,Condominium,4,2,2,1500,2,Kuala Lumpur,0,0,1
Residensi Pandanmas 1,1700,Desa Pandan,Condominium,3,2,2,900,1,Kuala Lumpur,1,1,1
The Vyne,1700,Sungai Besi,Condominium,2,1,2,855,2,Kuala Lumpur,1,1,1
Majestic Maxim,1400,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,0,1
Danau Idaman,1300,Taman Desa,Condominium,3,1,2,938,1,Kuala Lumpur,0,1,1
Pangsapuri Permai,900,Sungai Besi,Apartment,3,1,2,700,1,Kuala Lumpur,1,1,0
Dahlia Apartment (Ampang),1100,Ampang,Apartment,3,1,2,782,0,Kuala Lumpur,1,1,1
D'Suria Condominium,2400,Ampang,Condominium,3,1,2,1060,2,Kuala Lumpur,1,1,1
M Centura,1500,Sentul,Service Residence,3,2,2,850,1,Kuala Lumpur,1,1,1
The Era,3200,Segambut,Condominium,3,2,3,1050,1,Kuala Lumpur,1,1,1
Dua Menjalara,2500,Bandar Menjalara,Service Residence,3,2,2,1400,1,Kuala Lumpur,0,0,1
M Centura,2490,Sentul,Service Residence,3,2,2,850,2,Kuala Lumpur,1,0,1
Residency V,2200,Old Klang Road,Service Residence,3,2,2,990,2,Kuala Lumpur,0,0,1
Reizz Residence,2400,Ampang Hilir,Service Residence,2,1,2,845,2,Kuala Lumpur,1,0,1
Saville,1600,Taman Melawati,Service Residence,3,1,2,980,1,Kuala Lumpur,1,0,1
Court 28 @ KL City,2000,Jalan Ipoh,Service Residence,2,1,2,900,2,Kuala Lumpur,1,1,1
Viva Residency,1780,Jalan Ipoh,Condominium,2,1,2,900,2,Kuala Lumpur,1,0,1
Residensi PV 9 ,2200,Setapak,Condominium,3,1,2,1000,1,Kuala Lumpur,1,0,1
Sutera Maya,1600,Old Klang Road,Condominium,3,2,2,1350,1,Kuala Lumpur,1,0,1
Taman Setapak Indah Fasa 7,1000,Setapak,Other,3,1,2,650,0,Kuala Lumpur,1,1,1
Pinnacle (Sri Petaling),2300,Sri Petaling,Service Residence,3,1,3,900,2,Kuala Lumpur,0,1,1
The Scott Garden,1299,Old Klang Road,Other,1,1,2,775,0,Kuala Lumpur,0,1,1
Lido Residency,2000,Cheras,Condominium,2,1,2,996,2,Kuala Lumpur,1,0,1
Residensi Gurneymas,1300,Keramat,Apartment,3,1,2,850,0,Kuala Lumpur,1,0,1
Majestic Maxim,1600,Cheras,Service Residence,2,1,2,670,1,Kuala Lumpur,1,1,1
Casa Green (Bukit Jalil),1550,Bukit Jalil,Condominium,3,2,3,1003,1,Kuala Lumpur,1,1,1
Platinum Splendor Residensi Semarak,1500,Keramat,Condominium,4,2,2,1184,0,Kuala Lumpur,1,1,1
Lido Residency,1600,Cheras,Condominium,2,1,2,950,1,Kuala Lumpur,0,0,1
