prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size(sq.ft.),furnished,region,near_KTM-LRT,minimart availability,security availability
Delima J Apartment,1400,Desa Pandan,Apartment,3,1,2,1000,1,Kuala Lumpur,0,0,1
Hedgeford 10 Residences @ Wangsa Maju,1200,Wangsa Maju,Service Residence,1,1,1,521,1,Kuala Lumpur,0,1,1
The Establishment,2500,Brickfields,Service Residence,1,1,1,468,2,Kuala Lumpur,1,0,0
The Henge Kepong,2200,Kepong,Condominium,3,2,2,1100,2,Kuala Lumpur,1,1,1
Sofiya Residences,2300,Desa ParkCity,Condominium,3,1,2,862,2,Kuala Lumpur,0,0,1
Suasana Lumayan,1500,Cheras,Condominium,4,1,2,1142,1,Kuala Lumpur,1,1,1
Vista Komanwel A,1600,Bukit Jalil,Condominium,3,2,2,1224,2,Kuala Lumpur,1,1,1
Lakeville Residence,1900,Jalan Ipoh,Condominium,3,2,2,1193,1,Kuala Lumpur,0,1,1
Arte Plus Jalan Ampang,2100,Ampang,Service Residence,3,2,2,1200,2,Kuala Lumpur,0,0,1
Residensi Alam Damai (PR1MA @ Alam Damai),1300,Cheras,Apartment,3,1,3,935,0,Kuala Lumpur,0,1,1
Residensi Pandanmas 1,1500,Desa Pandan,Apartment,3,1,2,900,1,Kuala Lumpur,1,1,1
First Residence,1600,Kepong,Condominium,3,1,2,1070,1,Kuala Lumpur,1,0,1
Unio Residence,2200,Kepong,Apartment,2,1,2,866,2,Kuala Lumpur,0,1,1
Legasi Kampong Bharu,3300,KL City,Apartment,3,1,2,950,2,Kuala Lumpur,0,1,1
Bayu Tasik 2,1500,Cheras,Condominium,3,1,2,1000,2,Kuala Lumpur,1,0,1
Platinum Oug Residence,1650,Bukit Jalil,Condominium,3,1,2,1200,2,Kuala Lumpur,1,1,1
M Centura,2500,Sentul,Service Residence,3,1,2,850,1,Kuala Lumpur,0,0,1
Impian Kota,1500,KL City,Apartment,3,1,2,1100,1,Kuala Lumpur,1,0,0
Desa Dua Aman Puri,850,Kepong,Apartment,3,1,2,850,0,Kuala Lumpur,0,1,1
The Hipster @ Taman Desa,2100,Taman Desa,Condominium,3,2,2,925,2,Kuala Lumpur,1,1,1
Sentrio Suites,1550,Desa Pandan,Service Residence,1,1,1,570,2,Kuala Lumpur,0,0,1
PV9 Residences @ Taman Melati,2499,Setapak,Service Residence,4,3,2,1100,1,Kuala Lumpur,1,1,1
Bukit Pandan 2,1450,Cheras,Condominium,3,1,2,1150,2,Kuala Lumpur,1,1,1
Majestic Maxim,1750,Cheras,Service Residence,3,1,2,819,1,Kuala Lumpur,1,1,1
Apartment Sentul,1700,Sentul,Apartment,2,1,2,743,2,Kuala Lumpur,1,1,1
Bayu @ Pandan Jaya,1700,Pandan Jaya,Condominium,3,1,2,1072,1,Kuala Lumpur,1,0,1
Casa Green (Bukit Jalil),2000,Bukit Jalil,Condominium,4,1,2,900,2,Kuala Lumpur,1,1,1
10 Semantan,1948,Damansara Heights,Service Residence,2,1,2,990,2,Kuala Lumpur,1,1,1
Impiana Sky Residensi,1300,Bukit Jalil,Apartment,3,1,2,850,1,Kuala Lumpur,0,0,1
M Vertica,2200,Cheras,Condominium,3,2,2,850,2,Kuala Lumpur,1,1,1
Damai Hillpark,1600,Bandar Damai Perdana,Service Residence,3,2,2,1020,1,Kuala Lumpur,0,1,1
Vina Versatile Homes,1400,Cheras,Other,1,1,1,450,2,Kuala Lumpur,1,1,1
Residensi Jalilmas,1000,Bukit Jalil,Apartment,3,1,2,800,1,Kuala Lumpur,1,1,1
Sri Putramas,1500,Jalan Kuching,Condominium,3,1,2,1100,1,Kuala Lumpur,0,1,1
Sri Putramas,1600,Jalan Kuching,Condominium,3,1,2,1100,2,Kuala Lumpur,0,1,1
Pangsapuri Melur (Sentul),1400,Sentul,Apartment,3,1,2,650,1,Kuala Lumpur,1,1,1
Platinum OUG Residence,1800,Kuchai Lama,Condominium,3,1,2,1200,2,Kuala Lumpur,1,0,1
Majestic Maxim,1488,Cheras,Service Residence,3,1,2,819,1,Kuala Lumpur,1,0,1
Anjung Hijau,1400,Bukit Jalil,Condominium,2,1,2,980,2,Kuala Lumpur,1,1,1
