monthly_rent
2800
1800
2900
1200
1700
600
1600
1600
580
900
2450
900
2800
1300
1800
1800
1350
4300
1800
900
2200
1699
1200
1400
1450
1400
1000
1250
1600
1300
3000
1400
2000
1950
1300
1000
1300
2600
1800
1800
1100
850
1300
1500
1150
1000
1100
1800
1999
1600
1100
1150
2600
1500
1650
1000
2000
4000
1600
1799
2400
1300
1750
1199
1600
1498
1200
1800
2300
1500
900
3000
750
1400
1500
1200
950
1200
1100
1300
1350
2200
1000
1400
3000
1250
1500
1800
1000
1200
2800
1150
900
1700
1200
1300
1200
700
900
4500
1280
1600
1900
1600
1300
1200
1800
3500
2600
1300
2500
1600
1100
1500
3200
1500
1400
1850
1100
1400
1800
1100
1500
1300
1800
2000
1800
800
1100
1500
604
2300
2800
900
1800
1600
850
1300
2800
3500
1350
1100
1100
1400
650
900
1600
2400
1100
700
3800
1200
1950
1500
2100
4200
1650
1300
1650
2000
1900
1700
1200
850
1150
1100
1100
800
950
2500
1400
1100
680
1350
700
600
2000
1899
1500
1400
1500
1500
1500
950
1400
1800
1700
700
2200
1300
2299
1500
1800
1500
3500
850
850
2400
2000
2500
2200
1450
1100
800
1300
1300
2000
850
1400
950
2300
2300
1500
950
1000
2480
1350
1900
1700
1250
2000
2000
4500
1100
1350
950
1300
2400
1700
2600
2200
1100
1250
2200
1100
2500
1500
1500
3000
1250
1100
1500
3500
2300
1000
1500
2700
1450
1500
2800
1300
1500
1300
1750
2000
1250
1400
1800
1350
1400
3000
1000
1500
1200
2100
2200
1100
1500
1100
1400
1999
1600
1200
1600
1000
1400
1800
1800
2400
2000
2300
900
800
1300
1600
1400
1300
1900
1100
1600
1988
1880
2800
1400
1200
1500
1200
2099
1200
2000
1800
1800
1500
3500
1400
1200
1650
1450
2650
1299
1200
1200
1050
1350
1600
1800
1600
1250
1500
1400
900
1000
1400
1200
1500
800
1500
2700
1350
1800
1000
1250
900
1500
1948
1250
1600
2800
1500
1800
1000
1250
1000
1600
700
750
1300
2000
2500
1700
750
1800
1650
1900
1150
1000
3000
1400
2800
1000
1500
2000
1550
1100
2700
1300
1500
1500
1600
1000
1900
1850
1204
1200
1600
1100
1499
1600
1800
2000
2000
750
1200
900
2000
1700
1300
1800
1000
3800
1000
1700
900
2100
1100
1550
1900
801
1300
2400
2000
1300
1900
1600
1880
1200
1700
1400
1000
2000
2000
1158
2600
2200
1200
2200
850
1300
1000
1550
2100
1000
850
2000
1300
1400
1500
1900
1800
1900
2800
1650
1500
3000
1600
1050
1300
1400
1200
2000
850
1600
1250
1250
1500
1950
1200
1200
2200
1800
1150
1250
1200
1200
2450
1500
1100
900
1450
600
1700
1700
1690
1200
3200
1150
2000
1450
1400
1000
800
2000
2000
900
1450
2100
1700
1400
2700
2600
1988
1700
1800
2000
2300
1650
1300
1900
1800
2400
1400
1400
1000
1599
1350
2500
1688
800
850
700
850
1700
2900
1200
2200
1000
2900
650
1199
1799
1200
1450
1200
1600
1600
2300
850
850
2100
950
3500
2500
1600
1900
2200
900
850
1800
1700
1599
1600
2200
2000
1200
1600
1500
2200
1700
1600
1600
1700
3000
1150
1200
1600
1700
1000
2300
1800
1500
1550
1200
1800
1698
1699
1200
1699
800
2000
1300
2500
1300
1500
1300
950
650
1200
3000
2400
1500
3500
1800
1400
1800
1800
1850
1499
2400
3000
1500
1780
1300
601
1300
1600
3300
1900
1750
1400
2300
1800
1200
3000
1650
850
1000
1300
1999
2000
850
2000
4000
1380
1200
1300
1000
1500
1000
700
950
1300
1200
1600
1600
1600
850
950
1600
1499
2100
2000
1499
1650
1700
1200
3000
1200
2500
1500
950
1250
1600
1600
1200
1600
1750
1799
1500
2600
1000
2000
1700
750
1100
1350
1500
1299
1140
1200
1700
1550
1400
1350
1000
1300
3200
1950
850
1550
1200
2300
3000
1100
1500
1300
1300
2500
1200
1400
1900
1100
1400
4800
1600
1400
1500
750
3100
1500
1100
2100
1450
3500
1399
1500
800
1000
1100
3000
1300
1200
2500
1600
2350
1400
1200
1400
1800
1000
2450
4000
3299
1400
1300
1000
800
1499
1200
1000
1400
1500
1300
900
1500
1000
2300
2200
2700
1500
1400
2000
1550
800
1900
1100
4300
2000
1700
1400
2800
1000
1500
2000
950
1800
1100
1100
4300
1700
1700
950
1250
2200
1900
1100
1399
1200
2400
1712
1300
2999
1500
1300
1650
2500
2300
1400
600
1400
1400
1400
1450
